round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp_new,B_norm,ratio_norm,scaled_delta_norm,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
16,0.5334,0.5334,0.696782648563385,0.48900145292282104,1.106796383857727,0.03630424290895462,0.032771584596197,1.1265140771865845,2273.59033203125,0.03602847829461098,0.5042188698542572,0.3751928417155199,0.6133333333333333,0.3818770226537217,0.5685534591194968,0.39520958083832336,0.6943262411347517,0.48180135718692163,0.5963826749167064,0.5267857142857143,0.5943908323281062,0.6787709497206704,0.5839675291730086,0.3228346456692913,0.3568649249583102,0.5356795644565429,0.5445566778900113,0.7136710346176413,0.574585635359116,0.43424503559385536
17,0.5488,0.5488,0.7074599266052246,0.4739045798778534,1.1035186052322388,0.035930171608924866,0.03253016421698945,1.1261731386184692,2256.796630859375,0.03551962599158287,0.5221171055995909,0.40512187596420857,0.6259154929577465,0.40129449838187703,0.5679245283018868,0.4101796407185629,0.7198581560283688,0.5064774830351635,0.6206568300809139,0.5669642857142857,0.5916767189384801,0.6983240223463687,0.5941146626078133,0.36220472440944884,0.3877153974430239,0.5255687342018277,0.5212121212121212,0.7297085859573635,0.5580110497237569,0.4511052828774822
18,0.5612,0.5612,0.7007296681404114,0.4595393240451813,1.100220799446106,0.03546896204352379,0.032208765091763646,1.1258279085159302,2296.66357421875,0.035003114491701126,0.5622602914855536,0.4498611539648257,0.6169014084507042,0.42394822006472493,0.5773584905660377,0.44610778443113774,0.7319148936170212,0.5305367057371992,0.6363636363636364,0.5982142857142857,0.6010253317249699,0.7206703910614525,0.60882800608828,0.3858267716535433,0.4018899388549194,0.508458098386156,0.5335578002244669,0.7465284568746333,0.56353591160221,0.46796553016110903
19,0.5721,0.5721,0.6921981573104858,0.4461342990398407,1.0968921184539795,0.034827202558517456,0.03172188047725503,1.1254777908325195,2211.63623046875,0.03426280990242958,0.5962669394016875,0.48596112311015116,0.6009389671361502,0.4336569579288026,0.5786163522012578,0.4745508982035928,0.7191489361702128,0.5311536088834053,0.6420752022846263,0.6160714285714286,0.6197225572979493,0.6983240223463687,0.6210045662100456,0.41732283464566927,0.40161200667037245,0.4785144857087303,0.5600448933782267,0.7580676706434578,0.574585635359116,0.4820157362307981
20,0.5735,0.5735,0.6622251272201538,0.43153661489486694,1.0934011936187744,0.03429985046386719,0.031341203448847166,1.1251097917556763,2164.635009765625,0.033927906304597855,0.6213244694451547,0.5165072508485036,0.5938028169014085,0.4368932038834951,0.590566037735849,0.5029940119760479,0.6886524822695036,0.541024059222702,0.6392194193241314,0.6383928571428571,0.6348009650180941,0.6871508379888268,0.6428209030948757,0.4409448818897638,0.40411339633129517,0.4555706785922613,0.5975308641975309,0.7721494230393116,0.5966850828729282,0.48295241663544397
21,0.5745,0.5745,0.6536417007446289,0.41659244894981384,1.089882254600525,0.0338272750377655,0.031009098273537202,1.124737024307251,2085.99169921875,0.03338228538632393,0.6223472257734595,0.5192841715519901,0.6067605633802817,0.44336569579288027,0.60062893081761,0.5,0.6588652482269504,0.5471930906847625,0.6396953831508805,0.625,0.6531966224366706,0.6787709497206704,0.6555048198883815,0.4251968503937008,0.4002223457476376,0.433404627649232,0.632996632996633,0.7758654410326619,0.6077348066298343,0.4874484825777445
22,0.5765,0.5765,0.6695736646652222,0.4032212495803833,1.0864843130111694,0.03328424319624901,0.030606642135450418,1.1243737936019897,2160.3271484375,0.03277691826224327,0.5995908974686781,0.48626966985498304,0.6291079812206573,0.44660194174757284,0.6062893081761006,0.46706586826347307,0.6574468085106383,0.5478099938309685,0.6492146596858639,0.625,0.6685765983112183,0.6815642458100558,0.6641298833079655,0.4094488188976378,0.4010561423012785,0.43301574956251215,0.6435465768799102,0.7782123997653041,0.6298342541436464,0.4968152866242038
23,0.5815,0.5815,0.6643320322036743,0.39078447222709656,1.0830775499343872,0.0327545627951622,0.030214224800748472,1.1240079402923584,2062.470703125,0.032220032066106796,0.5768345691638967,0.46282011724776306,0.6493896713615024,0.41423948220064727,0.6050314465408805,0.44610778443113774,0.6773049645390071,0.540407156076496,0.6568300809138505,0.6428571428571429,0.6661640530759951,0.7094972067039106,0.6732623033992897,0.41732283464566927,0.3952195664257921,0.4528485319852226,0.644668911335578,0.7809505182867201,0.6243093922651933,0.5136755339078306
24,0.5823,0.5823,0.6824134588241577,0.3806746006011963,1.0798070430755615,0.03210942819714546,0.029708751809920088,1.1236531734466553,2090.207763671875,0.03142238408327103,0.5691638967016108,0.45850046282011725,0.6591549295774648,0.42071197411003236,0.6075471698113207,0.4416167664670659,0.6886524822695036,0.5286859962985812,0.666825321275583,0.6517857142857143,0.6670687575392038,0.7039106145251397,0.6763064434297311,0.4015748031496063,0.3841022790439133,0.4759867781450515,0.6482603815937149,0.7766477606102092,0.6187845303867403,0.5309104533533159
25,0.5888,0.5888,0.657347559928894,0.3700457513332367,1.0764036178588867,0.03155986964702606,0.029292522434391555,1.1232833862304688,1911.119384765625,0.031010061502456665,0.571976476604449,0.46220302375809935,0.6638497652582159,0.4174757281553398,0.6050314465408805,0.4535928143712575,0.7092198581560284,0.5163479333744602,0.6849119466920514,0.6428571428571429,0.658021712907117,0.723463687150838,0.6823947234906139,0.4015748031496063,0.3707615341856587,0.5018471709119191,0.6448933782267116,0.7793858791316253,0.6298342541436464,0.5543274634694643
26,0.5996,0.5996,0.6655924320220947,0.3607932925224304,1.073074221611023,0.031056996434926987,0.02891513063998878,1.122918963432312,1973.14501953125,0.030491216108202934,0.5985681411403733,0.497994446158593,0.6548356807511737,0.42718446601941745,0.5987421383647799,0.47754491017964074,0.7297872340425532,0.5249845774213449,0.6906235126130414,0.625,0.6562123039806996,0.7122905027932961,0.6884830035514967,0.41732283464566927,0.377153974430239,0.5201244409877503,0.6493827160493827,0.7881869743790338,0.6408839779005525,0.5672536530535781
27,0.6059,0.6059,0.6605185270309448,0.3522987961769104,1.0697364807128906,0.03050132468342781,0.02848630380382687,1.122551679611206,1905.5694580078125,0.02988448552787304,0.6249041165942214,0.5310089478556002,0.6390610328638497,0.45307443365695793,0.5974842767295597,0.5014970059880239,0.7446808510638298,0.5391733497840839,0.6958591147072822,0.6294642857142857,0.652291917973462,0.7094972067039106,0.6889903602232369,0.44881889763779526,0.3993885491939967,0.512541318296714,0.642648709315376,0.7928808918443184,0.6629834254143646,0.5773698014237543
28,0.6085,0.6085,0.6345729231834412,0.34242382645606995,1.0662643909454346,0.03011472523212433,0.02821674318717525,1.1221697330474854,1752.1126708984375,0.02971847727894783,0.6578880081820506,0.5677260104905894,0.6253521126760564,0.47249190938511326,0.5968553459119497,0.5329341317365269,0.7425531914893617,0.5397902529302899,0.7001427891480247,0.6294642857142857,0.643546441495778,0.7150837988826816,0.6905124302384577,0.4881889763779528,0.4130072262367982,0.5026249270853588,0.6363636363636364,0.7969880696264424,0.6574585635359116,0.5887973023604346
29,0.6125,0.6125,0.6253280639648438,0.33178406953811646,1.0627610683441162,0.02961428090929985,0.027839222350370812,1.1217827796936035,1679.638916015625,0.029073331505060196,0.6745077985170034,0.5850046282011725,0.6142723004694836,0.47249190938511326,0.6075471698113207,0.5404191616766467,0.7382978723404255,0.5471930906847625,0.6972870061875297,0.6294642857142857,0.6568154402895054,0.7178770949720671,0.6996448503297819,0.4881889763779528,0.4291272929405225,0.49426404822088277,0.6417508417508417,0.8024643066692744,0.6464088397790055,0.5816785312851255
30,0.6131,0.6131,0.6659932136535645,0.32434090971946716,1.0595290660858154,0.02908763661980629,0.027427477048943598,1.1214195489883423,1840.477294921875,0.028480753302574158,0.6755305548453081,0.5788336933045356,0.6135211267605634,0.5080906148867314,0.6257861635220126,0.5538922155688623,0.7368794326241135,0.5582973473164713,0.6915754402665397,0.6294642857142857,0.6746079613992763,0.7178770949720671,0.710806697108067,0.4881889763779528,0.4455252918287938,0.4913474625704842,0.6655443322109988,0.8059847447682378,0.6408839779005525,0.5665043087298614
31,0.6147,0.6147,0.6575286388397217,0.31769081950187683,1.0562666654586792,0.028574271127581596,0.02702655069067659,1.121051549911499,1768.634521484375,0.028010502457618713,0.658399386346203,0.5560012341869793,0.6247887323943662,0.5048543689320388,0.6339622641509434,0.5299401197604791,0.7475177304964539,0.5749537322640346,0.6834840552118039,0.625,0.6887816646562123,0.7374301675977654,0.7219685438863521,0.4645669291338583,0.46914952751528627,0.512541318296714,0.6875420875420876,0.8095051828672013,0.6519337016574586,0.5438366429374297
32,0.6179,0.6179,0.6717373728752136,0.31237030029296875,1.0531165599822998,0.028104789555072784,0.026661937229735495,1.120692253112793,1785.7935791015625,0.027582954615354538,0.6338532344668882,0.5248380129589633,0.6396244131455399,0.5210355987055016,0.6176100628930817,0.5029940119760479,0.7453900709219858,0.5909932140653917,0.680628272251309,0.6294642857142857,0.6827503015681544,0.7402234636871509,0.7290715372907154,0.4409448818897638,0.48971650917176207,0.5247909780283881,0.7063973063973064,0.8073538040289459,0.6629834254143646,0.5309104533533159
