round,global_acc,per_client_gen_acc,lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
28,0.6617,0.6617,0.01,0.7256456149322424,0.6241900647948164,0.6683568075117371,0.5210355987055016,0.6641509433962264,0.5838323353293413,0.7929078014184398,0.5854410857495373,0.7344121846739647,0.6830357142857143,0.7285886610373945,0.7653631284916201,0.7600202942668696,0.5433070866141733,0.43468593663146193,0.5594011277464515,0.7270482603815938,0.8535106591042441,0.7237569060773481,0.6037841888347696
29,0.6654,0.6654,0.01,0.7212989005369471,0.6377661215674174,0.6837558685446009,0.5598705501618123,0.6547169811320754,0.5793413173652695,0.8078014184397163,0.6125848241826033,0.7172774869109948,0.6473214285714286,0.7071773220747889,0.7653631284916201,0.7503805175038052,0.5433070866141733,0.490550305725403,0.5786505930390823,0.7203142536475869,0.857813416780755,0.7016574585635359,0.5857999250655677
30,0.6691,0.6691,0.01,0.734339043722833,0.6396174020364085,0.6850704225352112,0.5728155339805825,0.680503144654088,0.594311377245509,0.8042553191489362,0.6193707587908698,0.7420276059019515,0.6875,0.7340168878166465,0.7597765363128491,0.7620497209538305,0.5354330708661418,0.49388549193996667,0.5185689286408711,0.7070707070707071,0.8519460199491492,0.6795580110497238,0.6283252154364931
31,0.674,0.674,0.01,0.7494246995653285,0.6565874730021598,0.6942723004694835,0.5566343042071198,0.6616352201257861,0.6032934131736527,0.799290780141844,0.6039481801357187,0.7172774869109948,0.6964285714285714,0.7228588661037394,0.7486033519553073,0.7595129375951294,0.5669291338582677,0.48443579766536965,0.5679564456542874,0.7375982042648709,0.8539018188930177,0.7348066298342542,0.5966654177594605
32,0.6781,0.6781,0.01,0.752492968550243,0.6643011416229558,0.6987793427230047,0.5663430420711975,0.6729559748427673,0.6107784431137725,0.824822695035461,0.6045650832819247,0.732032365540219,0.6830357142857143,0.726779252110977,0.7793296089385475,0.7640791476407914,0.5905511811023622,0.490272373540856,0.5990666925918724,0.7198653198653199,0.8472521024838646,0.7458563535911602,0.6150243536905208
33,0.6816,0.6816,0.01,0.7563283047813858,0.6751002776920704,0.704037558685446,0.5889967637540453,0.6817610062893081,0.6212574850299402,0.8085106382978723,0.6502159161011721,0.7253688719657306,0.6964285714285714,0.7340168878166465,0.7653631284916201,0.7706747843734145,0.6062992125984252,0.5294608115619789,0.5636787867003694,0.7322109988776655,0.8486211617445727,0.712707182320442,0.6065942300487074
34,0.6796,0.6796,0.01,0.7496803886474047,0.6581302067263191,0.7128638497652582,0.5792880258899676,0.6591194968553459,0.6107784431137725,0.8049645390070922,0.634793337446021,0.7367920038077106,0.6964285714285714,0.7255729794933655,0.7737430167597765,0.7691527143581938,0.5511811023622047,0.5225125069483046,0.5592066887030915,0.7389450056116723,0.8650498728730687,0.7071823204419889,0.6139003372049456
35,0.6825,0.6825,0.01,0.7588851956021477,0.6781857451403888,0.7092957746478873,0.5048543689320388,0.6672955974842767,0.6377245508982036,0.8163120567375887,0.5891425046267736,0.7425035697287006,0.6964285714285714,0.7291917973462002,0.7737430167597765,0.7676306443429731,0.5826771653543307,0.44469149527515284,0.5819560567762007,0.7371492704826038,0.8662233522393898,0.7182320441988951,0.6406893967778194
36,0.6833,0.6833,0.01,0.7486576323191,0.6565874730021598,0.6916431924882629,0.56957928802589,0.6861635220125786,0.6152694610778443,0.8219858156028369,0.6421961752004935,0.7425035697287006,0.7008928571428571,0.7373341375150784,0.7849162011173184,0.778285134449518,0.5433070866141733,0.5161200667037243,0.5609566400933308,0.745230078563412,0.8642675532955212,0.7071823204419889,0.6242038216560509
37,0.6844,0.6844,0.01,0.7706468933776528,0.6877506942301759,0.6938967136150235,0.5339805825242718,0.6672955974842767,0.625748502994012,0.8333333333333334,0.6273904996915485,0.7339362208472157,0.6875,0.7168275030156815,0.8044692737430168,0.7732115677321156,0.6299212598425197,0.49777654252362424,0.6029554734590706,0.7369248035914703,0.8695482104439664,0.7016574585635359,0.6148370176095916
38,0.6835,0.6835,0.01,0.7767834313474815,0.6905276149336624,0.6833802816901409,0.5469255663430421,0.679874213836478,0.6467065868263473,0.8283687943262411,0.6298581122763726,0.7348881485007139,0.6830357142857143,0.7364294330518697,0.7905027932960894,0.7843734145104008,0.6535433070866141,0.4913841022790439,0.5977056192883531,0.7517396184062851,0.8691570506551927,0.7182320441988951,0.6071562382914949
39,0.6885,0.6885,0.01,0.7583738174379954,0.6791113853748842,0.7288262910798122,0.56957928802589,0.689937106918239,0.6437125748502994,0.824822695035461,0.6366440468846392,0.729176582579724,0.7053571428571429,0.7394451145958987,0.776536312849162,0.7940131912734653,0.6299212598425197,0.4963868816008894,0.5844837643398795,0.7622895622895622,0.8597692157246235,0.7292817679558011,0.6198950917946796
40,0.6906,0.6906,0.01,0.776272053183329,0.6997840172786177,0.7083568075117371,0.5598705501618123,0.6949685534591195,0.6526946107784432,0.8226950354609929,0.661937075879087,0.7282246549262256,0.7232142857142857,0.7478890229191797,0.7653631284916201,0.7777777777777778,0.6377952755905512,0.5494719288493608,0.5664009333074081,0.7445566778900112,0.8670056718169372,0.7016574585635359,0.627201198950918
