round,global_acc,per_client_gen_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
56,0.6902,0.6902,0.009916390292346478,0.7870109946305293,0.7161369947547054,0.6952112676056338,0.5825242718446602,0.6647798742138364,0.6706586826347305,0.8347517730496454,0.6724244293645898,0.7420276059019515,0.6741071428571429,0.7273823884197829,0.7932960893854749,0.8097412480974124,0.6692913385826772,0.5319622012229016,0.6330935251798561,0.7627384960718294,0.8765890866418932,0.7679558011049724,0.6249531659797677
57,0.6917,0.6917,0.009919307194650173,0.7737151623625671,0.7016352977476088,0.7051643192488263,0.5631067961165048,0.6666666666666666,0.6497005988023952,0.8354609929078014,0.6631708821714991,0.7672536887196573,0.6651785714285714,0.7225572979493365,0.8016759776536313,0.7955352612886859,0.6062992125984252,0.5391884380211228,0.6138440598872253,0.7485970819304153,0.8877371406219441,0.712707182320442,0.6760959160734358
58,0.6907,0.6907,0.009931271895766258,0.7900792636154437,0.709040419623573,0.6850704225352112,0.5631067961165048,0.6779874213836478,0.6661676646706587,0.8432624113475178,0.6551511412708205,0.7667777248929082,0.6651785714285714,0.7313027744270205,0.8156424581005587,0.8061897513952309,0.6062992125984252,0.5033351862145636,0.6266770367489792,0.7503928170594837,0.8936045374535497,0.7458563535911602,0.6586736605470214
59,0.6955,0.6955,0.00992173608392477,0.7734594732804909,0.7031780314717679,0.715868544600939,0.5922330097087378,0.6754716981132075,0.6631736526946108,0.8432624113475178,0.64898210980876,0.757734412184674,0.6741071428571429,0.732509047044632,0.7905027932960894,0.8168442415017757,0.6377952755905512,0.5108393551973318,0.6527318685592067,0.7741863075196409,0.8779581459026012,0.7458563535911602,0.6526789059572874
60,0.6924,0.6924,0.00992573332041502,0.7862439273843007,0.7186053687133601,0.6854460093896714,0.5889967637540453,0.6685534591194968,0.6781437125748503,0.8326241134751773,0.6792103639728563,0.772013326987149,0.6741071428571429,0.735524728588661,0.8072625698324022,0.7889396245560629,0.6377952755905512,0.5444691495275152,0.5922613260742757,0.7474747474747475,0.8969293956581263,0.7403314917127072,0.6777819408017984
61,0.697,0.697,0.009956500492990017,0.7783175658399386,0.705029311940759,0.7113615023474178,0.5663430420711975,0.690566037735849,0.6766467065868264,0.8375886524822695,0.649599012954966,0.7524988100904332,0.6875,0.758745476477684,0.8044692737430168,0.8153221714865551,0.6456692913385826,0.5075041689827682,0.6465098191716897,0.7797979797979798,0.8830432231566595,0.7458563535911602,0.6423754215061821
62,0.6967,0.6967,0.00996063370257616,0.7680900025568909,0.6886763344646714,0.716056338028169,0.5857605177993528,0.6968553459119496,0.6706586826347305,0.8333333333333334,0.6594694632942628,0.7643979057591623,0.6830357142857143,0.7551266586248492,0.7988826815642458,0.8082191780821918,0.5984251968503937,0.5305725403001668,0.635232354656815,0.7723905723905724,0.8848034422061412,0.7458563535911602,0.6704758336455602
63,0.6958,0.6958,0.009960494004189968,0.7916133981079008,0.7195310089478556,0.7147417840375587,0.56957928802589,0.6748427672955974,0.6841317365269461,0.8312056737588652,0.6650215916101172,0.7648738695859115,0.6696428571428571,0.7430639324487334,0.8072625698324022,0.8011161846778285,0.6377952755905512,0.5405780989438577,0.58331713007972,0.7438832772166105,0.9016233131234109,0.7237569060773481,0.6665417759460472
64,0.6965,0.6965,0.009955142624676228,0.7890565072871388,0.7139771675408825,0.6970892018779342,0.5598705501618123,0.6691823899371069,0.6766467065868264,0.8390070921985816,0.6804441702652684,0.7610661589719181,0.6741071428571429,0.7391435464414958,0.8016759776536313,0.8209030948756976,0.6456692913385826,0.5289049471928849,0.6338712813532957,0.7795735129068463,0.8828476432622726,0.7679558011049724,0.666354439865118
65,0.6992,0.6992,0.009946784935891628,0.781385834824853,0.6997840172786177,0.7284507042253521,0.56957928802589,0.6880503144654088,0.6766467065868264,0.8390070921985816,0.6637877853177051,0.7586863398381724,0.6875,0.7478890229191797,0.7932960893854749,0.8244545915778793,0.6141732283464567,0.5241801000555865,0.6237604510985806,0.7845117845117845,0.8861725014668492,0.7292817679558011,0.6721618583739228
