round,global_acc,per_client_gen_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
97,0.6006,0.6006,9.971886174753308e-05,0.542004048582996,0.46215631757800435,0.4399173864063087,0.31715210355987056,0.5418193935354881,0.43333333333333335,0.6908602150537635,0.4187219730941704,0.7766471635716102,0.49586776859504134,0.5763313609467455,0.754874651810585,0.7642928786359077,0.5333333333333333,0.2933104631217839,0.8192148760330579,0.649923896499239,0.7311592761980513,0.7590361445783133,0.6950863809737492
98,0.6032,0.6032,9.873143426375464e-05,0.5452935222672065,0.4643188137164041,0.44386030792339465,0.32038834951456313,0.5401532822392536,0.44166666666666665,0.6851851851851852,0.4232062780269058,0.7799542101246503,0.48760330578512395,0.5798816568047337,0.7493036211699164,0.7542627883650953,0.5393939393939394,0.3018867924528302,0.8152302243211335,0.6453576864535768,0.725989262278783,0.7469879518072289,0.6953107471393314
99,0.6018,0.6018,9.790775220608339e-05,0.5392206477732794,0.458758109360519,0.4421704844160721,0.32038834951456313,0.542485838053982,0.43333333333333335,0.6872759856630825,0.422085201793722,0.7758839989824472,0.48760330578512395,0.5763313609467455,0.7520891364902507,0.765295887662989,0.5393939393939394,0.29649595687331537,0.8208382526564345,0.6506849315068494,0.7253927222111752,0.7590361445783133,0.6964325779672426
100,0.5609,0.47620000000000007,0.00023493755725212395,0.3550101214574899,0.19029966017917826,0.5645888096132182,0.23624595469255663,0.44118627124291904,0.3111111111111111,0.5803464755077659,0.3239910313901345,0.7847875858560163,0.32231404958677684,0.5005917159763313,0.7270194986072424,0.7181544633901705,0.42727272727272725,0.24136241117373192,0.8376623376623377,0.5981735159817352,0.47544243388347585,0.6746987951807228,0.6300201929549024
101,0.5552,0.4746,0.00025363548775203526,0.35880566801619435,0.2014210688909484,0.5401802478407811,0.23300970873786409,0.43385538153948683,0.2902777777777778,0.5839307048984468,0.31446188340807174,0.7908929025693208,0.30578512396694213,0.4970414201183432,0.724233983286908,0.7211634904714143,0.41515151515151516,0.24087233521195786,0.8307260920897285,0.5806697108066972,0.4879697753032412,0.6746987951807228,0.6349562485977115
102,0.5491,0.47402999999999995,0.00022256444208323956,0.3560222672064777,0.19029966017917826,0.5225309800976342,0.23948220064724918,0.453515494835055,0.2833333333333333,0.5961768219832736,0.31446188340807174,0.78987534978377,0.30578512396694213,0.5124260355029586,0.7103064066852368,0.7231695085255767,0.4212121212121212,0.24871355060034306,0.81685360094451,0.5722983257229832,0.5197852455756612,0.6506024096385542,0.6392192057437739
103,0.5394,0.47088,0.00018691168224904686,0.353997975708502,0.18597466790237874,0.4892977844536237,0.2524271844660194,0.4481839386871043,0.275,0.6018518518518519,0.31390134529147984,0.7969982192826253,0.30578512396694213,0.5124260355029586,0.713091922005571,0.7131394182547643,0.4090909090909091,0.2609654496446949,0.8096221959858324,0.5639269406392694,0.5378802942931,0.6626506024096386,0.6423603320619251
104,0.5294,0.46731,0.00015675503527745605,0.3393218623481781,0.17670682730923695,0.49042433345850545,0.24919093851132687,0.44718427190936355,0.2708333333333333,0.5976702508960573,0.3155829596412556,0.7957262783006869,0.3140495867768595,0.5136094674556213,0.6908077994428969,0.6990972918756269,0.40606060606060607,0.2634158294535653,0.7988488783943329,0.5601217656012176,0.56969576456552,0.6506024096385542,0.65492483733453
105,0.5248,0.46825,0.00013308301276993006,0.3259109311740891,0.16620327463700957,0.4678933533608712,0.2588996763754045,0.46984338553815397,0.26805555555555555,0.6197729988052568,0.31446188340807174,0.7959806664970746,0.32231404958677684,0.5183431952662721,0.7047353760445683,0.7141424272818455,0.42424242424242425,0.2668463611859838,0.7948642266824085,0.5517503805175038,0.5901769735533904,0.6626506024096386,0.6679380749382993
106,0.5226,0.46715,0.00011527341848704964,0.32110323886639675,0.16589434661723818,0.4754036800600826,0.255663430420712,0.46584471842719094,0.26805555555555555,0.6117084826762246,0.31390134529147984,0.7936911727295853,0.32231404958677684,0.5183431952662721,0.6824512534818942,0.6970912738214644,0.4212121212121212,0.261455525606469,0.7933884297520661,0.5555555555555556,0.6023066215947505,0.6626506024096386,0.674444693740184
