round,global_acc,client_lr
167,0.4853,5.835871343151666e-05
168,0.4832,5.805177352158353e-05
169,0.4851,5.7767672842601314e-05
170,0.4848,5.735067679779604e-05
171,0.4846,5.695084109902382e-05
172,0.4839,5.668156882165931e-05
173,0.4831,5.6378783483523875e-05
174,0.4847,5.622440221486613e-05
175,0.4833,5.5999887990765274e-05
176,0.4842,5.5571239499840885e-05
177,0.4856,5.531674833036959e-05
178,0.4847,5.501901978277601e-05
179,0.4855,5.479666651808657e-05
180,0.4856,5.444875205284916e-05
181,0.4851,5.420014349510893e-05
182,0.4857,5.3862197091802955e-05
183,0.4843,5.3518822824116796e-05
184,0.4847,5.317049362929538e-05
185,0.4835,5.289278851705603e-05
186,0.4839,5.260612306301482e-05
187,0.4853,5.227365545579232e-05
188,0.4859,5.2074497943976894e-05
189,0.4863,5.177302591619082e-05
190,0.4864,5.156075712875463e-05
191,0.4845,5.1383485697442666e-05
192,0.4845,5.1061178965028375e-05
193,0.4853,5.083518772153184e-05
194,0.4828,5.055278597865254e-05
195,0.4857,5.044413046562113e-05
196,0.4863,5.005155981052667e-05
197,0.4861,4.986370186088607e-05
198,0.4861,4.957022611051798e-05
199,0.486,4.933098898618482e-05
