round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp_new,B_layer_norm,ratio_norm,scaled_delta_norm,warmup,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
24,0.6025,0.6025,0.6679150462150574,0.30019181966781616,0.48947861790657043,0.0,0.0,0.006062420712123681,0.0,0.0,1,0.6110969061621069,0.5183585313174947,0.7070422535211267,0.4110032362459547,0.5308176100628931,0.5,0.7375886524822695,0.4947563232572486,0.6715849595430747,0.5446428571428571,0.5962002412545235,0.7067039106145251,0.6991374936580416,0.4409448818897638,0.3602001111728738,0.5782617149523624,0.6781144781144781,0.794836690788187,0.6353591160220995,0.5693143499437991
25,0.6132,0.6132,0.6850666999816895,0.29474934935569763,0.49181973934173584,0.0030507668706411845,0.006190431565740698,0.006062420712123681,775.5074477911761,0.004532894680286388,0,0.6251598056762976,0.5297747608762727,0.692018779342723,0.4368932038834951,0.5484276729559748,0.5104790419161677,0.7283687943262411,0.5144972239358421,0.6734888148500714,0.5535714285714286,0.6130880579010857,0.7122905027932961,0.7143581938102486,0.4251968503937008,0.38299055030572543,0.5555123468792533,0.7081930415263749,0.8007040876197927,0.6629834254143646,0.5857999250655677
26,0.6203,0.6203,0.6667409539222717,0.28781116008758545,0.4938756823539734,0.003762959013750544,0.007603847083072036,0.006062420712123681,778.3402146126283,0.004432791753433024,0,0.6443364868320123,0.5575439679111386,0.6574647887323943,0.4563106796116505,0.5628930817610063,0.5284431137724551,0.7283687943262411,0.5434916718075262,0.6887196573060448,0.5982142857142857,0.632086851628468,0.7206703910614525,0.7290715372907154,0.47244094488188976,0.4224569205113952,0.516624538207272,0.7176206509539843,0.8120477214942304,0.6795580110497238,0.596103409516673
27,0.6254,0.6254,0.6759491562843323,0.2830294966697693,0.4960273802280426,0.0040679826032766495,0.0081846247613365,0.006062420712123681,821.8748218047234,0.004267923562516437,0,0.6704167732037842,0.5809935205183585,0.632112676056338,0.4692556634304207,0.5767295597484277,0.5508982035928144,0.7269503546099291,0.5657001850709439,0.7020466444550214,0.5848214285714286,0.6510856453558505,0.7318435754189944,0.7361745306950787,0.5039370078740157,0.4402445803224013,0.49776395100136106,0.7164983164983165,0.8274985331507921,0.6906077348066298,0.5938553765455227
28,0.6243,0.6243,0.6819033026695251,0.278783917427063,0.4982295334339142,0.004152845834682206,0.008318509936936535,0.006062420712123681,802.6935452206702,0.004258664159886648,0,0.6842239836358988,0.5945695772909596,0.6169014084507042,0.4919093851132686,0.5943396226415094,0.5733532934131736,0.7453900709219858,0.5737199259716225,0.7153736316039981,0.6116071428571429,0.6652593486127865,0.7541899441340782,0.7402333840690005,0.5275590551181102,0.43802112284602557,0.5072914641259965,0.7063973063973064,0.8368863680813612,0.6685082872928176,0.5869239415511428
29,0.6242,0.6242,0.6646965742111206,0.2743189334869385,0.50016850233078,0.004355785707160345,0.008691259899420914,0.006062420712123681,793.1519224732947,0.004359110304817512,0,0.6885706980311941,0.5902499228633138,0.6272300469483568,0.49514563106796117,0.6075471698113207,0.5688622754491018,0.7595744680851064,0.5848241826033312,0.7106139933365064,0.6294642857142857,0.6776236429433052,0.770949720670391,0.741248097412481,0.5039370078740157,0.4455252918287938,0.5255687342018277,0.6967452300785634,0.8376686876589087,0.6740331491712708,0.5794304983139753
30,0.6262,0.6262,0.6495444774627686,0.26896587014198303,0.5018823742866516,0.004326479646620725,0.008603363068268042,0.006062420712123681,760.2780284908689,0.004225104454665904,0,0.6785988238302224,0.5850046282011725,0.6369953051643192,0.49514563106796117,0.620125786163522,0.5658682634730539,0.7659574468085106,0.5922270203578038,0.7110899571632556,0.6339285714285714,0.695416164053076,0.7653631284916201,0.7422628107559615,0.5433070866141733,0.45775430794886046,0.5430682481042193,0.6951739618406285,0.8306278114609819,0.6850828729281768,0.5792431622330461
31,0.6285,0.6285,0.6731030941009521,0.2646135687828064,0.5038827061653137,0.004244777152896146,0.008407452069681862,0.006062420712123681,829.3135776095013,0.00399336330046028,0,0.6673485042188698,0.5809935205183585,0.6490140845070422,0.48220064724919093,0.6226415094339622,0.5733532934131736,0.7645390070921986,0.5916101172115977,0.7106139933365064,0.6517857142857143,0.6984318455971049,0.770949720670391,0.7397260273972602,0.5275590551181102,0.4555308504724847,0.5553179078358934,0.7061728395061728,0.8265206336788579,0.6685082872928176,0.5783064818284002
32,0.6298,0.6298,0.6675025820732117,0.2598438262939453,0.5057809352874756,0.004241506951007835,0.008369507721520356,0.006062420712123681,816.8612281798407,0.0041103286064852335,0,0.6545640501150601,0.5754396791113854,0.6529577464788733,0.4692556634304207,0.6169811320754717,0.5673652694610778,0.7652482269503547,0.5761875385564467,0.7015706806282722,0.6160714285714286,0.6933051869722557,0.7569832402234636,0.7447995941146626,0.5354330708661418,0.4474708171206226,0.5757340073886836,0.7221099887766554,0.822217876002347,0.6574585635359116,0.5869239415511428
33,0.6325,0.6325,0.6796720027923584,0.2566317319869995,0.5078147053718567,0.004363713293253317,0.008576232658339126,0.006062420712123681,847.2117660204217,0.0041614935449927615,0,0.6537969828688315,0.578216599814872,0.6615962441314553,0.48220064724919093,0.6176100628930817,0.5688622754491018,0.7702127659574468,0.5576804441702653,0.695383150880533,0.6071428571428571,0.6893848009650181,0.7625698324022346,0.7483510908168443,0.5433070866141733,0.4366314619232907,0.5893447404238771,0.7313131313131314,0.8190885976921572,0.6629834254143646,0.6037841888347696
34,0.6362,0.6362,0.6745057702064514,0.2534092366695404,0.5097514986991882,0.00427143123639333,0.008363032212870762,0.006062420712123681,848.509312177797,0.0041023718103299885,0,0.6658143697264127,0.5896328293736501,0.6766197183098591,0.47896440129449835,0.6169811320754717,0.5823353293413174,0.7723404255319148,0.5508945095619988,0.6930033317467873,0.625,0.6933051869722557,0.7569832402234636,0.7625570776255708,0.5984251968503937,0.4263479710950528,0.5903169356406767,0.7434343434343434,0.822217876002347,0.7348066298342542,0.6137130011240165
35,0.6384,0.6384,0.6688830256462097,0.24935869872570038,0.511587917804718,0.004188626969689015,0.008171528871823248,0.006062420712123681,823.136252828197,0.0039987439023869914,0,0.6826898491434416,0.6118481950015427,0.6816901408450704,0.47572815533980584,0.6213836477987421,0.6017964071856288,0.7773049645390071,0.5558297347316471,0.6882436934792956,0.6294642857142857,0.6978287092882992,0.7513966480446927,0.7671232876712328,0.6299212598425197,0.4360755975541968,0.5788450320824422,0.7468013468013468,0.8257383141013104,0.7458563535911602,0.6124016485575122
36,0.6435,0.6435,0.647366464138031,0.24378547072410583,0.5131235718727112,0.003998300954737986,0.0077769259638768365,0.006062420712123681,735.2221306237956,0.0036322586351386433,0,0.6964970595755561,0.6278926257327985,0.6828169014084507,0.5048543689320388,0.6289308176100629,0.6032934131736527,0.7773049645390071,0.5761875385564467,0.6906235126130414,0.6473214285714286,0.7050663449939686,0.7541899441340782,0.7727042110603755,0.6062992125984252,0.4583101723179544,0.5572622982694925,0.7497194163860831,0.830432231566595,0.7513812154696132,0.6088422630198577
37,0.6439,0.6439,0.698562502861023,0.24180476367473602,0.5153083801269531,0.004102228659697921,0.007945307141226798,0.006062420712123681,847.067001304189,0.003955901851790674,0,0.7034006647916135,0.6331379203949399,0.6792488262910799,0.5242718446601942,0.630188679245283,0.6017964071856288,0.775177304964539,0.5940777297964219,0.6987148976677773,0.6607142857142857,0.7074788902291917,0.7541899441340782,0.7767630644342973,0.6141732283464567,0.46942745969983324,0.5514291269686953,0.7494949494949495,0.8353217289262663,0.7403314917127072,0.60828025477707
38,0.6467,0.6467,0.688817024230957,0.2398977428674698,0.517331600189209,0.004038484772946324,0.007791315002735966,0.006062420712123681,869.7569376793134,0.0037336541951785464,0,0.7039120429557658,0.6272755322431348,0.6741784037558686,0.5242718446601942,0.6383647798742138,0.6002994011976048,0.775177304964539,0.6020974706971005,0.7039504997620181,0.6741071428571429,0.7083835946924005,0.7793296089385475,0.771689497716895,0.6062992125984252,0.4688715953307393,0.5545401516624539,0.7429854096520763,0.8429493448073538,0.7403314917127072,0.6084675908579993
