round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
23,0.6098,0.6098,0.6907222867012024,0.3227784335613251,0.4923253357410431,0.6422909741754027,0.5408824436902191,0.6525821596244131,0.49838187702265374,0.5937106918238994,0.5119760479041916,0.7184397163120567,0.5521283158544109,0.7082341742027606,0.5982142857142857,0.6589264173703256,0.6899441340782123,0.7189244038559107,0.49606299212598426,0.42579210672595885,0.5026249270853588,0.6958473625140292,0.7960101701545081,0.6298342541436464,0.5824278756088422
24,0.6123,0.6123,0.6917508244514465,0.3153530955314636,0.49471771717071533,0.6668371260547175,0.5701943844492441,0.6401877934272301,0.5080906148867314,0.5974842767295597,0.5464071856287425,0.7276595744680852,0.5379395434916718,0.6991908614945264,0.59375,0.6574185765983113,0.6983240223463687,0.7255200405885337,0.5354330708661418,0.4121734296831573,0.5218743923779895,0.6994388327721661,0.8024643066692744,0.6408839779005525,0.5745597602098164
25,0.6168,0.6168,0.6777723431587219,0.30812764167785645,0.4968821704387665,0.691127588851956,0.5924097500771367,0.6163380281690141,0.49838187702265374,0.6069182389937107,0.561377245508982,0.74822695035461,0.5465761875385564,0.7006187529747739,0.6071428571428571,0.6595295536791315,0.723463687150838,0.7371892440385591,0.5354330708661418,0.40244580322401335,0.5296519541123857,0.6960718294051628,0.8145902601212596,0.6519337016574586,0.5653802922442862
26,0.6212,0.6212,0.6865020394325256,0.30188825726509094,0.4991351068019867,0.7100485809255945,0.6146251157050293,0.6050704225352113,0.5016181229773463,0.610062893081761,0.5808383233532934,0.7695035460992907,0.5552128315854411,0.6930033317467873,0.6294642857142857,0.6746079613992763,0.7402234636871509,0.7442922374429224,0.5669291338582677,0.40800444691495275,0.5300408321991056,0.6888888888888889,0.8230001955798943,0.6740331491712708,0.5509554140127388
27,0.6257,0.6257,0.6798300743103027,0.2957932949066162,0.5012645721435547,0.7156737407312708,0.626966985498303,0.6135211267605634,0.5145631067961165,0.6283018867924528,0.594311377245509,0.7822695035460993,0.5644663787785318,0.6872917658257972,0.6339285714285714,0.6854644149577804,0.7625698324022346,0.745814307458143,0.5590551181102362,0.43468593663146193,0.5308185883725453,0.6830527497194164,0.8306278114609819,0.6740331491712708,0.5443986511802174
28,0.6277,0.6277,0.6788344979286194,0.2892570495605469,0.5033504366874695,0.7151623625671184,0.6291268127121259,0.627981220657277,0.5436893203883495,0.6364779874213836,0.5958083832335329,0.7886524822695036,0.5835903763109191,0.6844359828653023,0.6473214285714286,0.6899879372738239,0.7625698324022346,0.7483510908168443,0.5590551181102362,0.452751528627015,0.533151856892864,0.6801346801346801,0.830432231566595,0.6850828729281768,0.5395279130760584
29,0.629,0.629,0.6745481491088867,0.2840266525745392,0.5053496360778809,0.704167732037842,0.621104597346498,0.6392488262910798,0.5436893203883495,0.6496855345911949,0.5973053892215568,0.7964539007092198,0.5996298581122764,0.6930033317467873,0.6473214285714286,0.7017490952955368,0.7793296089385475,0.7539320142059868,0.5433070866141733,0.4741523068371317,0.5286797588955863,0.6751964085297418,0.8302366516722081,0.6629834254143646,0.5503934057699513
30,0.6322,0.6322,0.6728739142417908,0.2792845368385315,0.5072987675666809,0.6941958578368703,0.609379821042888,0.6445070422535212,0.5598705501618123,0.6471698113207547,0.5988023952095808,0.7971631205673759,0.6070326958667489,0.7029985721085198,0.6473214285714286,0.7044632086851629,0.7625698324022346,0.7519025875190258,0.5039370078740157,0.48360200111172874,0.5286797588955863,0.6859708193041526,0.8286720125171132,0.6685082872928176,0.5663169726489322
31,0.6327,0.6327,0.675911545753479,0.27461740374565125,0.5092612504959106,0.6977755049859371,0.6062943535945696,0.6606572769953052,0.5501618122977346,0.6345911949685534,0.6047904191616766,0.7886524822695036,0.6039481801357187,0.7077582103760114,0.6383928571428571,0.7002412545235223,0.7569832402234636,0.7529173008625063,0.4881889763779528,0.48165647581989995,0.5282908808088664,0.7021324354657688,0.8253471543125367,0.6795580110497238,0.5796178343949044
32,0.6364,0.6364,0.6837899088859558,0.2697090804576874,0.5113016366958618,0.7026335975453848,0.6133909287257019,0.6738028169014084,0.5436893203883495,0.6289308176100629,0.6182634730538922,0.7695035460992907,0.5940777297964219,0.7029985721085198,0.625,0.6945114595898673,0.7430167597765364,0.7579908675799086,0.5039370078740157,0.45608671484157864,0.5446237604510986,0.7225589225589225,0.820848816741639,0.7016574585635359,0.5867366054702136
