round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp_new,B_layer_norm,ratio_norm,scaled_delta_norm,warmup,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
131,0.6887,0.6887,0.7940248250961304,0.17496763169765472,0.659199059009552,0.0063062727807447275,0.009552077808480315,0.006251697269685703,978.5894751364053,0.0063108187555451205,0,0.7836870365635388,0.6982412835544585,0.7534272300469483,0.5339805825242718,0.6723270440251572,0.6946107784431138,0.8624113475177305,0.6249228871067243,0.7534507377439315,0.7142857142857143,0.7506031363088058,0.8379888268156425,0.8214104515474379,0.6692913385826772,0.4733185102834908,0.6620649426404822,0.7966329966329966,0.8965382358693527,0.7182320441988951,0.6854627201198951
132,0.6875,0.6875,0.7400712370872498,0.17315442860126495,0.6600568294525146,0.005919745440250257,0.008954972063677147,0.006251697269685703,814.5995665741084,0.005644927168691809,0,0.7872666837126054,0.7053378586855908,0.7476056338028169,0.5469255663430421,0.6685534591194968,0.6901197604790419,0.8567375886524823,0.6280074028377545,0.7505949547834364,0.6875,0.7536188178528347,0.840782122905028,0.8234398782343988,0.6614173228346457,0.47887715397443026,0.664592650204161,0.7948372615039282,0.8981028750244475,0.7237569060773481,0.6863994005245411
133,0.6891,0.6891,0.7917974591255188,0.17358961701393127,0.6615042090415955,0.006412592301262388,0.009679323110322718,0.006251697269685703,967.2246538103446,0.00641825632071986,0,0.7852211710559959,0.6920703486578217,0.735962441314554,0.5533980582524272,0.6767295597484276,0.6901197604790419,0.8574468085106383,0.6421961752004935,0.7572584483579248,0.6919642857142857,0.7548250904704463,0.8379888268156425,0.8229325215626585,0.6850393700787402,0.4944413563090606,0.6712035776783978,0.7903479236812571,0.8961470760805789,0.712707182320442,0.6895841139003372
134,0.6912,0.6912,0.6836376190185547,0.17048195004463196,0.661729097366333,0.0055154635657258325,0.00832235009394356,0.006251697269685703,718.5216934167481,0.005023603798921685,0,0.7752492968550243,0.6902190681888306,0.7288262910798122,0.56957928802589,0.6811320754716981,0.6751497005988024,0.8581560283687943,0.6582356570018507,0.7558305568776773,0.7053571428571429,0.755729794933655,0.8296089385474861,0.817351598173516,0.6692913385826772,0.5113952195664258,0.6675092358545596,0.7930415263748597,0.8955603363974184,0.712707182320442,0.6995129261895842
135,0.6891,0.6891,0.7521185278892517,0.17025874555110931,0.6626940965652466,0.006044967548541011,0.009108062855802035,0.006251697269685703,878.187290511773,0.00607915408378551,0,0.7721810278701099,0.6843566800370257,0.7173708920187793,0.5501618122977346,0.6880503144654088,0.6781437125748503,0.8539007092198582,0.6650215916101172,0.757734412184674,0.6964285714285714,0.755729794933655,0.8268156424581006,0.8102486047691527,0.6535433070866141,0.5211228460255698,0.66673147968112,0.792368125701459,0.8971249755525132,0.7182320441988951,0.7049456725365305
136,0.6892,0.6892,0.752812922000885,0.1698302924633026,0.6636558175086975,0.006321323210665094,0.009510671604980536,0.006251697269685703,882.8420889549052,0.0062470216099707095,0,0.7726924060342624,0.6803455723542117,0.7134272300469483,0.5663430420711975,0.6955974842767295,0.6796407185628742,0.8546099290780141,0.661937075879087,0.7586863398381724,0.6919642857142857,0.7611580217129071,0.8240223463687151,0.8072044647387113,0.6377952755905512,0.519455252918288,0.6655648454209605,0.793939393939394,0.8981028750244475,0.712707182320442,0.7122517796927689
137,0.6887,0.6887,0.7677754163742065,0.17075355350971222,0.6647777557373047,0.0061397090192729705,0.009221859646652883,0.006251697269685703,916.9815382126773,0.00601351922958077,0,0.7737151623625671,0.6834310398025301,0.7183098591549296,0.5631067961165048,0.70062893081761,0.6811377245508982,0.8560283687943262,0.6514497223935842,0.7601142313184198,0.6964285714285714,0.7647768395657418,0.8128491620111732,0.8122780314561137,0.6377952755905512,0.5080600333518621,0.6669259187244799,0.7952861952861953,0.9020144729121846,0.7182320441988951,0.7096290745597602
138,0.6908,0.6908,0.7901654839515686,0.17225775122642517,0.6661484837532043,0.006737861581901553,0.010099493210261217,0.006251697269685703,970.703835007348,0.0066619296120916625,0,0.778828944004091,0.6868250539956804,0.7261971830985916,0.540453074433657,0.7094339622641509,0.687125748502994,0.8482269503546099,0.6514497223935842,0.7615421227986673,0.6875,0.7708082026537998,0.8184357541899442,0.8143074581430746,0.6614173228346457,0.4972206781545303,0.6595372350768034,0.7966329966329966,0.901427733229024,0.7071823204419889,0.7139378044211315
139,0.6879,0.6879,0.7807427048683167,0.17343923449516296,0.667391836643219,0.006706895499798054,0.010034376741465394,0.006251697269685703,945.5022915014358,0.006372403905107339,0,0.7831756583993863,0.6917618019129899,0.7314553990610329,0.49514563106796117,0.710691823899371,0.6811377245508982,0.8475177304964538,0.6286243059839605,0.7624940504521657,0.7008928571428571,0.7726176115802171,0.835195530726257,0.8209030948756976,0.6771653543307087,0.4822123401889939,0.6554540151662454,0.7928170594837262,0.9035791120672795,0.712707182320442,0.7171225177969277
140,0.6889,0.6889,0.7748932838439941,0.17422035336494446,0.6685524582862854,0.006556167709361543,0.00979186563834297,0.006251697269685703,912.0354163063482,0.006258102133907755,0,0.7847097928918435,0.6957729095958037,0.732206572769953,0.5048543689320388,0.720754716981132,0.6901197604790419,0.851063829787234,0.6323257248611968,0.7624940504521657,0.6919642857142857,0.7741254523522316,0.840782122905028,0.8264840182648402,0.6771653543307087,0.4874930516953863,0.6537040637760062,0.7901234567901234,0.901427733229024,0.7182320441988951,0.7109404271262645
