round,global_acc,per_client_gen_acc,lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
16,0.5902,0.5902,0.03,0.7069803119406801,0.6106140080222153,0.6169014084507042,0.36893203883495146,0.540251572327044,0.5494011976047904,0.7354609929078014,0.486119679210364,0.6744407425035698,0.5357142857142857,0.6106755126658625,0.7513966480446927,0.6976154236428209,0.5433070866141733,0.29766536964980544,0.5092358545595955,0.6361391694725028,0.8153725796988069,0.6408839779005525,0.4895091794679655
17,0.5955,0.5955,0.03,0.6916389670161084,0.5979635914841098,0.6475117370892018,0.3786407766990291,0.5132075471698113,0.5269461077844312,0.7432624113475177,0.4873534855027761,0.6649214659685864,0.5401785714285714,0.5796139927623642,0.7346368715083799,0.7199391171993912,0.5196850393700787,0.29571984435797666,0.5448181994944585,0.6734006734006734,0.8214355564247995,0.6519337016574586,0.5013113525665043
18,0.5981,0.5981,0.03,0.6970084377397086,0.5979635914841098,0.6137089201877934,0.32038834951456313,0.5773584905660377,0.5479041916167665,0.7099290780141844,0.45465761875385563,0.6877677296525464,0.5625,0.6453558504221955,0.7206703910614525,0.7072552004058853,0.5275590551181102,0.24708171206225682,0.49426404822088277,0.6891133557800224,0.8435360844905144,0.6408839779005525,0.56219557886849
19,0.605,0.605,0.03,0.708003068268985,0.6254242517741437,0.6461971830985915,0.39158576051779936,0.5163522012578616,0.5344311377245509,0.7929078014184398,0.49167180752621836,0.6891956211327939,0.5669642857142857,0.5850422195416164,0.7597765363128491,0.7285641806189751,0.5590551181102362,0.2962757087270706,0.5580400544429321,0.6608305274971942,0.8398200664971641,0.6298342541436464,0.5309104533533159
20,0.6091,0.6091,0.03,0.709537202761442,0.622955877815489,0.6131455399061033,0.3786407766990291,0.5534591194968553,0.5434131736526946,0.7304964539007093,0.4910549043800123,0.6963350785340314,0.5446428571428571,0.6269601930036188,0.723463687150838,0.710806697108067,0.5118110236220472,0.3068371317398555,0.5232354656815088,0.6866442199775533,0.8433405045961275,0.6298342541436464,0.5651929561633571
21,0.619,0.619,0.03,0.7087701355152135,0.6217216908361617,0.6569014084507042,0.3948220064724919,0.5748427672955975,0.5658682634730539,0.7297872340425532,0.5225169648365207,0.6744407425035698,0.6026785714285714,0.6456574185765983,0.7486033519553073,0.7229832572298326,0.5590551181102362,0.3479710950528071,0.5195411238576706,0.6960718294051628,0.8411891257578721,0.6519337016574586,0.5294117647058824
22,0.6203,0.6203,0.03,0.722577345947328,0.6553532860228325,0.6212206572769953,0.4174757281553398,0.5729559748427673,0.5868263473053892,0.7815602836879433,0.5212831585441086,0.6801523084245598,0.6071428571428571,0.6372135102533173,0.7737430167597765,0.7397260273972602,0.5669291338582677,0.34769316286826013,0.5664009333074081,0.7005611672278339,0.8362996283982007,0.6629834254143646,0.5438366429374297
23,0.6221,0.6221,0.03,0.7051904883661467,0.6062943535945696,0.6219718309859155,0.3851132686084142,0.6194968553459119,0.5793413173652695,0.7432624113475177,0.5181986428130784,0.7106139933365064,0.6026785714285714,0.6899879372738239,0.7737430167597765,0.7336377473363774,0.5511811023622047,0.3354641467481934,0.5424849309741396,0.70662177328844,0.838451007236456,0.6519337016574586,0.573061071562383
24,0.6248,0.6248,0.03,0.7266683712605472,0.6513421783400185,0.659906103286385,0.37540453074433655,0.5685534591194968,0.5883233532934131,0.7673758865248227,0.486119679210364,0.6844359828653023,0.6026785714285714,0.6462605548854041,0.7458100558659218,0.7463216641298833,0.6141732283464567,0.31072818232351307,0.595761228854754,0.7196408529741863,0.8402112262859378,0.6850828729281768,0.5487073810415886
25,0.6307,0.6307,0.03,0.7212989005369471,0.6294353594569577,0.6071361502347418,0.36893203883495146,0.6364779874213836,0.5958083832335329,0.7631205673758865,0.5107958050586058,0.7325083293669681,0.5982142857142857,0.7005428226779252,0.7932960893854749,0.7513952308472857,0.5669291338582677,0.3265703168426904,0.533151856892864,0.7113355780022447,0.8527283395266967,0.6408839779005525,0.596103409516673
