round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp_new,B_norm,ratio_norm,scaled_delta_norm,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
22,0.5864,0.5864,0.6291992664337158,0.40726956725120544,1.0890414714813232,0.03376791998744011,0.03097856445915846,1.1263753175735474,1936.3704833984375,0.033364322036504745,0.5903860905139351,0.48997223079296515,0.6473239436619719,0.47896440129449835,0.6477987421383647,0.5089820359281437,0.6872340425531915,0.5700185070943862,0.6615897191813422,0.65625,0.6851628468033776,0.7094972067039106,0.6590563165905632,0.4094488188976378,0.45052807115063925,0.45459848337546177,0.6125701459034792,0.7494621552904361,0.5966850828729282,0.5073061071562383
23,0.5917,0.5917,0.6011637449264526,0.38952478766441345,1.0852489471435547,0.03326576575636864,0.030624440045576733,1.1259725093841553,1744.4404296875,0.03280147910118103,0.5801585272308872,0.46282011724776306,0.6587793427230046,0.47896440129449835,0.6446540880503144,0.4805389221556886,0.7035460992907802,0.5595311536088834,0.6634935744883389,0.6473214285714286,0.6854644149577804,0.7122905027932961,0.6702181633688483,0.4015748031496063,0.45247359644246804,0.47637565623177136,0.6240179573512907,0.7555251320164287,0.6132596685082873,0.5108654926938928
24,0.5951,0.5951,0.6326007843017578,0.37611842155456543,1.081660509109497,0.03273536637425423,0.030236039920934692,1.1255871057510376,1925.318115234375,0.03218194469809532,0.5758118128355919,0.4560320888614625,0.6683568075117371,0.4692556634304207,0.6245283018867924,0.4595808383233533,0.7141843971631205,0.5533621221468229,0.6682532127558306,0.6517857142857143,0.6758142340168878,0.7122905027932961,0.678335870116692,0.3779527559055118,0.43996664813785435,0.49387517013416293,0.6424242424242425,0.7731273225112458,0.6243093922651933,0.5174222555264144
25,0.5933,0.5933,0.6660858392715454,0.3667658269405365,1.078297734260559,0.03221540525555611,0.02984848780177168,1.1252214908599854,2022.792724609375,0.03162937983870506,0.5793914599846587,0.45788336933045354,0.6704225352112676,0.4401294498381877,0.5918238993710692,0.4550898203592814,0.7170212765957447,0.5441085749537322,0.6792003807710614,0.6517857142857143,0.6574185765983113,0.7094972067039106,0.6813800101471335,0.36220472440944884,0.4199555308504725,0.5043748784755979,0.6594837261503929,0.7919029923723842,0.6519337016574586,0.5365305357811915
26,0.5986,0.5986,0.6031261086463928,0.35335180163383484,1.0745867490768433,0.03178571164608002,0.02955197400243274,1.124820351600647,1713.85546875,0.03133706375956535,0.5942214267450779,0.4699166923788954,0.6661032863849765,0.43042071197411,0.5773584905660377,0.46407185628742514,0.7184397163120567,0.5428747686613201,0.6906235126130414,0.6339285714285714,0.6498793727382388,0.7150837988826816,0.6894977168949772,0.3779527559055118,0.40883824346859365,0.5049581956056777,0.6785634118967452,0.8042245257187561,0.6740331491712708,0.5524541026601724
27,0.6012,0.6012,0.6584578156471252,0.34487852454185486,1.0712257623672485,0.031152810901403427,0.02905433910916726,1.1244505643844604,1945.4234619140625,0.030402572825551033,0.6195346458706213,0.5038568343103981,0.6576525821596244,0.42394822006472493,0.5792452830188679,0.48353293413173654,0.7106382978723405,0.5434916718075262,0.6920514040932889,0.6160714285714286,0.6501809408926418,0.7039106145251397,0.7052257737189244,0.4015748031496063,0.3977209560867148,0.4973750729146413,0.6976430976430976,0.8110698220222962,0.6740331491712708,0.5562008242787561
28,0.604,0.604,0.5844653248786926,0.3325541019439697,1.0674575567245483,0.030685223639011383,0.02871917882548341,1.1240402460098267,1592.8798828125,0.030217232182621956,0.646637688570698,0.5519901265041653,0.6490140845070422,0.44336569579288027,0.5723270440251572,0.5134730538922155,0.6957446808510638,0.5471930906847625,0.6787244169443122,0.625,0.6510856453558505,0.6927374301675978,0.7052257737189244,0.41732283464566927,0.4102279043913285,0.49193077970056387,0.7068462401795735,0.8173283786426755,0.6685082872928176,0.5438366429374297
29,0.6083,0.6083,0.6087179183959961,0.32135331630706787,1.063849687576294,0.030208658427000046,0.028368941437883148,1.123642921447754,1734.8138427734375,0.02975483611226082,0.6734850421886985,0.5902499228633138,0.6458215962441315,0.4336569579288026,0.5830188679245283,0.5299401197604791,0.6964539007092199,0.553979025293029,0.6701570680628273,0.6116071428571429,0.6634499396863691,0.6955307262569832,0.7037037037037037,0.4645669291338583,0.40967204002223456,0.502041609955279,0.7171717171717171,0.811265401916683,0.6850828729281768,0.5256650430872987
30,0.6123,0.6123,0.6223132610321045,0.31269341707229614,1.0603448152542114,0.029571736231446266,0.02786251537335046,1.123253345489502,1677.0499267578125,0.02887807972729206,0.6844796727179749,0.6038259796359149,0.6426291079812206,0.44983818770226536,0.6,0.5389221556886228,0.7070921985815602,0.5706354102405923,0.6663493574488338,0.5714285714285714,0.6776236429433052,0.7067039106145251,0.710806697108067,0.5196850393700787,0.43190661478599224,0.5139023916002333,0.7158249158249158,0.8042245257187561,0.6906077348066298,0.5106781566129637
31,0.6149,0.6149,0.6706692576408386,0.30754074454307556,1.057159423828125,0.029055781662464142,0.027458794023067383,1.122891902923584,1817.1419677734375,0.028443943709135056,0.6752748657632319,0.5890157358839864,0.6454460093896713,0.4627831715210356,0.6075471698113207,0.5329341317365269,0.724113475177305,0.5842072794571253,0.6758686339838172,0.6026785714285714,0.6893848009650181,0.7346368715083799,0.7168949771689498,0.5196850393700787,0.4602556976097832,0.5205133190744702,0.7077441077441078,0.8067670643457853,0.6740331491712708,0.5151742225552641
