round,global_acc,per_client_gen_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19,hybrid_c00,hybrid_c01,hybrid_c02,hybrid_c03,hybrid_c04,hybrid_c05,hybrid_c06,hybrid_c07,hybrid_c08,hybrid_c09,hybrid_c10,hybrid_c11,hybrid_c12,hybrid_c13,hybrid_c14,hybrid_c15,hybrid_c16,hybrid_c17,hybrid_c18,hybrid_c19
62,0.6986,0.6986,0.768345691638967,0.6791113853748842,0.7254460093896714,0.5372168284789643,0.6911949685534591,0.6392215568862275,0.85177304964539,0.6600863664404688,0.7858162779628748,0.7366071428571429,0.7572376357056695,0.835195530726257,0.8117706747843734,0.6299212598425197,0.528627015008338,0.6140384989305853,0.7683501683501683,0.8930177977703893,0.7403314917127072,0.6863994005245411,0.768345691638967,0.6791113853748842,0.7254460093896714,0.5372168284789643,0.6911949685534591,0.6392215568862275,0.85177304964539,0.6600863664404688,0.7858162779628748,0.7366071428571429,0.7572376357056695,0.835195530726257,0.8117706747843734,0.6299212598425197,0.528627015008338,0.6140384989305853,0.7683501683501683,0.8930177977703893,0.7403314917127072,0.6863994005245411
63,0.6997,0.6997,0.7847097928918435,0.7062634989200864,0.7425352112676057,0.5469255663430421,0.6880503144654088,0.6586826347305389,0.850354609929078,0.6440468846391116,0.7758210376011423,0.7232142857142857,0.7478890229191797,0.835195530726257,0.8097412480974124,0.6614173228346457,0.5180655919955531,0.6109274742368268,0.7640852974186307,0.8871504009387835,0.7292817679558011,0.6674784563506931,0.7847097928918435,0.7062634989200864,0.7425352112676057,0.5469255663430421,0.6880503144654088,0.6586826347305389,0.850354609929078,0.6440468846391116,0.7758210376011423,0.7232142857142857,0.7478890229191797,0.835195530726257,0.8097412480974124,0.6614173228346457,0.5180655919955531,0.6109274742368268,0.7640852974186307,0.8871504009387835,0.7292817679558011,0.6674784563506931
64,0.7029,0.7029,0.7951930452569675,0.7186053687133601,0.7106103286384976,0.5372168284789643,0.6811320754716981,0.6751497005988024,0.85177304964539,0.6551511412708205,0.7762970014278915,0.7232142857142857,0.7478890229191797,0.8240223463687151,0.817351598173516,0.6614173228346457,0.5233463035019456,0.6222049387517014,0.7773288439955106,0.8861725014668492,0.7016574585635359,0.6884600974147621,0.7951930452569675,0.7186053687133601,0.7106103286384976,0.5372168284789643,0.6811320754716981,0.6751497005988024,0.85177304964539,0.6551511412708205,0.7762970014278915,0.7232142857142857,0.7478890229191797,0.8240223463687151,0.817351598173516,0.6614173228346457,0.5233463035019456,0.6222049387517014,0.7773288439955106,0.8861725014668492,0.7016574585635359,0.6884600974147621
65,0.7051,0.7051,0.7757606750191767,0.7016352977476088,0.748356807511737,0.5469255663430421,0.6924528301886792,0.6616766467065869,0.851063829787234,0.6526835286859963,0.7686815801999048,0.7276785714285714,0.7554282267792521,0.835195530726257,0.8254693049213597,0.6692913385826772,0.5277932184546971,0.6268714757923392,0.7849607182940517,0.8803051046352435,0.7403314917127072,0.6781566129636568,0.7757606750191767,0.7016352977476088,0.748356807511737,0.5469255663430421,0.6924528301886792,0.6616766467065869,0.851063829787234,0.6526835286859963,0.7686815801999048,0.7276785714285714,0.7554282267792521,0.835195530726257,0.8254693049213597,0.6692913385826772,0.5277932184546971,0.6268714757923392,0.7849607182940517,0.8803051046352435,0.7403314917127072,0.6781566129636568
66,0.7011,0.7011,0.7818972129890054,0.7007096575131132,0.739906103286385,0.5372168284789643,0.6949685534591195,0.6616766467065869,0.8638297872340426,0.6588525601480567,0.7601142313184198,0.7455357142857143,0.7524125452352232,0.835195530726257,0.8305428716387621,0.6692913385826772,0.528349082823791,0.6313435737896169,0.7872053872053872,0.8812830041071777,0.7348066298342542,0.6395653802922443,0.7818972129890054,0.7007096575131132,0.739906103286385,0.5372168284789643,0.6949685534591195,0.6616766467065869,0.8638297872340426,0.6588525601480567,0.7601142313184198,0.7455357142857143,0.7524125452352232,0.835195530726257,0.8305428716387621,0.6692913385826772,0.528349082823791,0.6313435737896169,0.7872053872053872,0.8812830041071777,0.7348066298342542,0.6395653802922443
67,0.7017,0.7017,0.7954487343390437,0.7155199012650416,0.7297652582159624,0.5566343042071198,0.6981132075471698,0.6811377245508982,0.8659574468085106,0.6600863664404688,0.7715373631603998,0.7410714285714286,0.7608564535585042,0.8268156424581006,0.817351598173516,0.6929133858267716,0.5364091161756531,0.612677425627066,0.7663299663299663,0.8861725014668492,0.7016574585635359,0.6624203821656051,0.7954487343390437,0.7155199012650416,0.7297652582159624,0.5566343042071198,0.6981132075471698,0.6811377245508982,0.8659574468085106,0.6600863664404688,0.7715373631603998,0.7410714285714286,0.7608564535585042,0.8268156424581006,0.817351598173516,0.6929133858267716,0.5364091161756531,0.612677425627066,0.7663299663299663,0.8861725014668492,0.7016574585635359,0.6624203821656051
68,0.7032,0.7032,0.8028637177192534,0.7253933970996606,0.716056338028169,0.5210355987055016,0.7062893081761006,0.6811377245508982,0.8347517730496454,0.6335595311536089,0.7753450737743931,0.7366071428571429,0.764475271411339,0.8100558659217877,0.8092338914256723,0.6377952755905512,0.4991662034463591,0.6163717674509042,0.7831649831649832,0.8918443184040681,0.7348066298342542,0.6993255901086549,0.8028637177192534,0.7253933970996606,0.716056338028169,0.5210355987055016,0.7062893081761006,0.6811377245508982,0.8347517730496454,0.6335595311536089,0.7753450737743931,0.7366071428571429,0.764475271411339,0.8100558659217877,0.8092338914256723,0.6377952755905512,0.4991662034463591,0.6163717674509042,0.7831649831649832,0.8918443184040681,0.7348066298342542,0.6993255901086549
69,0.7045,0.7045,0.8038864740475582,0.7312557852514656,0.715868544600939,0.5339805825242718,0.6836477987421383,0.6856287425149701,0.8553191489361702,0.6434299814929056,0.7772489290813898,0.7142857142857143,0.7478890229191797,0.8268156424581006,0.8092338914256723,0.7086614173228346,0.5163979988882713,0.6321213299630566,0.7656565656565657,0.8936045374535497,0.7071823204419889,0.6691644810790558,0.8038864740475582,0.7312557852514656,0.715868544600939,0.5339805825242718,0.6836477987421383,0.6856287425149701,0.8553191489361702,0.6434299814929056,0.7772489290813898,0.7142857142857143,0.7478890229191797,0.8268156424581006,0.8092338914256723,0.7086614173228346,0.5163979988882713,0.6321213299630566,0.7656565656565657,0.8936045374535497,0.7071823204419889,0.6691644810790558
70,0.7058,0.7058,0.7908463308616722,0.712742980561555,0.7404694835680751,0.5533980582524272,0.6886792452830188,0.6781437125748503,0.8581560283687943,0.6520666255397902,0.780580675868634,0.7276785714285714,0.7536188178528347,0.8324022346368715,0.8295281582952816,0.6692913385826772,0.5330739299610895,0.6251215244020999,0.7701459034792368,0.89047525914336,0.7237569060773481,0.6854627201198951,0.7908463308616722,0.712742980561555,0.7404694835680751,0.5533980582524272,0.6886792452830188,0.6781437125748503,0.8581560283687943,0.6520666255397902,0.780580675868634,0.7276785714285714,0.7536188178528347,0.8324022346368715,0.8295281582952816,0.6692913385826772,0.5330739299610895,0.6251215244020999,0.7701459034792368,0.89047525914336,0.7237569060773481,0.6854627201198951
71,0.7044,0.7044,0.7962158015852723,0.7170626349892009,0.7412206572769953,0.5307443365695793,0.7169811320754716,0.6766467065868264,0.8546099290780141,0.6483652066625539,0.7705854355069015,0.7366071428571429,0.770205066344994,0.8268156424581006,0.8158295281582952,0.6614173228346457,0.5119510839355197,0.6402877697841727,0.7773288439955106,0.8939956972423235,0.7292817679558011,0.6749718995878606,0.7962158015852723,0.7170626349892009,0.7412206572769953,0.5307443365695793,0.7169811320754716,0.6766467065868264,0.8546099290780141,0.6483652066625539,0.7705854355069015,0.7366071428571429,0.770205066344994,0.8268156424581006,0.8158295281582952,0.6614173228346457,0.5119510839355197,0.6402877697841727,0.7773288439955106,0.8939956972423235,0.7292817679558011,0.6749718995878606
